#timestamp x y z qx qy qz qw
1777258570.565000 0.0000000 0.0000000 0.0000000 -0.0000000 -0.0000000 -0.0000000 1.0000000
1777258572.066000 -0.0010332 -0.0219704 0.0885137 0.0051670 -0.0103849 0.0026266 0.9999293
1777258572.566000 0.0087180 -0.0308074 0.1216031 0.0222649 0.0036382 -0.0030671 0.9997408
1777258573.066000 0.0150647 -0.0391475 0.1599541 0.0104201 -0.0153054 -0.0092340 0.9997860
1777258573.569000 0.0048408 -0.0513286 0.2018265 0.0253769 0.0093512 0.0006876 0.9996340
1777258574.067000 0.0140044 -0.0608480 0.2449607 0.0382875 -0.0016467 0.0009306 0.9992650
1777258574.570000 0.0248433 -0.0723158 0.2903572 0.0282293 -0.0054468 -0.0082204 0.9995528
1777258575.070000 0.0107611 -0.0840216 0.3339545 0.0452857 -0.0005870 0.0039180 0.9989662
1777258575.572000 0.0156703 -0.0947436 0.3789289 0.0567046 -0.0092359 0.0031719 0.9983432
1777258576.071000 0.0225885 -0.1087668 0.4305786 0.0455819 -0.0105488 -0.0054566 0.9988900
1777258576.573000 0.0123509 -0.1228164 0.4871534 0.0628357 0.0105565 0.0074835 0.9979400
1777258577.073000 0.0273054 -0.1402474 0.5506278 0.0647300 0.0114011 0.0014737 0.9978366
1777258577.578000 0.0304465 -0.1557275 0.6123539 0.0568006 0.0097714 0.0002371 0.9983377
1777258578.076000 0.0275508 -0.1731369 0.6762257 0.0541634 0.0090528 0.0056462 0.9984751
1777258578.580000 0.0438230 -0.1936676 0.7423955 0.0536754 -0.0092247 -0.0083992 0.9984805
1777258579.082000 0.0291688 -0.2105665 0.8020181 0.0554848 0.0075165 0.0075967 0.9984024
1777258579.578000 0.0399038 -0.2258760 0.8644699 0.0488674 -0.0108798 0.0045571 0.9987356
1777258580.077000 0.0500411 -0.2416458 0.9213456 0.0347045 -0.0531469 -0.0094511 0.9979388
1777258580.579000 0.0301418 -0.2573201 0.9799348 0.0421345 -0.0303108 0.0128125 0.9985699
1777258581.080000 0.0301831 -0.2726764 1.0367787 0.0674110 -0.0027554 -0.0009932 0.9977210
1777258581.582000 0.0481720 -0.2979162 1.0875998 0.0487978 -0.0234374 -0.0096778 0.9984868
1777258582.083000 0.0305931 -0.3111393 1.1601387 0.0457983 0.0094199 0.0170200 0.9987613
1777258582.580000 0.0557005 -0.3202008 1.2247063 0.0548264 -0.0133779 -0.0109339 0.9983464
1777258583.584000 0.0577257 -0.3592813 1.3398504 0.0573243 -0.0333192 0.0026016 0.9977961
1777258584.083000 0.0583632 -0.3692594 1.3998307 0.0513882 -0.0365640 -0.0069609 0.9979849
